,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type
0,11,0,https://pic1.zhimg.com/v2-b64a74f59f6ac3c1fa5d969ed3b7ae18_is.jpg,https://pic1.zhimg.com/v2-b64a74f59f6ac3c1fa5d969ed3b7ae18_{size}.jpg,[],211,0,跌入开发坑的算法狗,c61d973c24ebe7ea543ab522df9cc7a8,False,False,False,False,miss.fish,people,http://www.zhihu.com/api/v4/people/c61d973c24ebe7ea543ab522df9cc7a8,madison-yu,people
1,1,0,https://pic3.zhimg.com/v2-a036bcbea41c12dd846e33d60af05351_is.jpg,https://pic3.zhimg.com/v2-a036bcbea41c12dd846e33d60af05351_{size}.jpg,[],136,0,认真的喜欢,b971b313f64a6c098ad84fa98a80b110,False,False,False,False,咪魔王,people,http://www.zhihu.com/api/v4/people/b971b313f64a6c098ad84fa98a80b110,zhang-fu-jia-shi-wen,people
2,500,66,https://pic2.zhimg.com/0f56a078537d2faf209241edaf359e90_is.jpg,https://pic2.zhimg.com/0f56a078537d2faf209241edaf359e90_{size}.jpg,[],110924,1,体能训练专家，战术格斗体系训练专家，康复体能训练，在国家队及军警多部门执教,32c6b1f3afac19e9fada09e810c85fb6,False,False,False,False,继续者张付,people,http://www.zhihu.com/api/v4/people/32c6b1f3afac19e9fada09e810c85fb6,ji-xu-zhe-zhang,people
3,1,0,https://pic2.zhimg.com/v2-f14553333f2f3008dcaab3f2c334f728_is.jpg,https://pic2.zhimg.com/v2-f14553333f2f3008dcaab3f2c334f728_{size}.jpg,[],22,0,学生,dd9968d26bc614fb01d2744fc441a9fa,False,False,False,False,寻找宋词,people,http://www.zhihu.com/api/v4/people/dd9968d26bc614fb01d2744fc441a9fa,tang-shi-75-72,people
4,73,0,https://pic1.zhimg.com/c4bf7b0e8392770db6a65f92447556ce_is.jpg,https://pic1.zhimg.com/c4bf7b0e8392770db6a65f92447556ce_{size}.jpg,[],972,0,自动化专业 | 应用系统工程师,2a499020807bd784f0b42bdcf57c7753,False,False,False,False,沃利贝尔,people,http://www.zhihu.com/api/v4/people/2a499020807bd784f0b42bdcf57c7753,jin-xin-yi-59,people
5,3,0,https://pic2.zhimg.com/v2-ba4d1538837a86c8fefd220525f44f2d_is.jpg,https://pic2.zhimg.com/v2-ba4d1538837a86c8fefd220525f44f2d_{size}.jpg,[],44,0,,6ca4b0ac8df5a770768c43fdabeb5003,False,False,False,False,如水,people,http://www.zhihu.com/api/v4/people/6ca4b0ac8df5a770768c43fdabeb5003,liu-liu-liu-1-35-80,people
6,386,234,https://pic1.zhimg.com/f843a266e4ce2dd9f730f6313273a8af_is.jpg,https://pic1.zhimg.com/f843a266e4ce2dd9f730f6313273a8af_{size}.jpg,"[{'type': 'identity', 'description': '妇产科学硕士'}]",170584,1,妇产科医生,5ca1fa549192495bbe203eda10839b38,False,False,False,False,六层楼,people,http://www.zhihu.com/api/v4/people/5ca1fa549192495bbe203eda10839b38,liu-ceng-lou,people
7,1,0,https://pic1.zhimg.com/v2-b5a411e0aed9f9da60c0ff96b1003be4_is.jpg,https://pic1.zhimg.com/v2-b5a411e0aed9f9da60c0ff96b1003be4_{size}.jpg,[],130,0,,c7960e474a47d0fd1607498dd7a7af38,False,False,False,False,wymyxyf,people,http://www.zhihu.com/api/v4/people/c7960e474a47d0fd1607498dd7a7af38,777fs,people
8,195,4,https://pic1.zhimg.com/299b23cf0a6bc5076831958b8e8a16b1_is.jpg,https://pic1.zhimg.com/299b23cf0a6bc5076831958b8e8a16b1_{size}.jpg,"[{'topics': [{'url': 'http://www.zhihu.com/api/v4/topics/19554298', 'avatar_url': 'https://pic1.zhimg.com/v2-4030982b9aed71d12b350a4c3ba5078d_is.jpg', 'name': '编程', 'introduction': '人们为了让计算机解决各种棘手的问题，使用编程语言<b>编写程序代码</b>并通过计算机运算得到最终结果的过程。', 'type': 'topic', 'excerpt': '人们为了让计算机解决各种棘手的问题，使用编程语言编写程序代码并通过计算机运算得到最终结果的过程。', 'id': '19554298'}], 'type': 'best_answerer', 'description': '优秀回答者'}]",4985,1,Helloworld 达人,059b2cc081cd384e13442d4285a1e9ff,False,False,False,False,luikore,people,http://www.zhihu.com/api/v4/people/059b2cc081cd384e13442d4285a1e9ff,luikore,people
9,1,0,https://pic4.zhimg.com/v2-55e055e44c8f7c598c0dd729e7e0cad5_is.jpg,https://pic4.zhimg.com/v2-55e055e44c8f7c598c0dd729e7e0cad5_{size}.jpg,[],278,0,新知乎小透明,e70c6471d0be3c94dd1a01c7fe41c3ae,False,False,False,False,薛婷,people,http://www.zhihu.com/api/v4/people/e70c6471d0be3c94dd1a01c7fe41c3ae,xie-ting-79-6,people
10,11,1,https://pic4.zhimg.com/v2-4345f37057e13876151d555925808eae_is.jpg,https://pic4.zhimg.com/v2-4345f37057e13876151d555925808eae_{size}.jpg,[],136,0,描述不了自己。,5380901c7e2ab26c5dfee1241830f38e,False,False,False,False,皇家大西瓜,people,http://www.zhihu.com/api/v4/people/5380901c7e2ab26c5dfee1241830f38e,huang-jia-da-xi-gua-92,people
11,0,0,https://pic3.zhimg.com/v2-282d001d1dc7ea32df5e9762b20d4802_is.jpg,https://pic3.zhimg.com/v2-282d001d1dc7ea32df5e9762b20d4802_{size}.jpg,[],577,0,小透明,64fc1560da5626052642a1c6e51d57db,False,False,False,False,王晓娟,people,http://www.zhihu.com/api/v4/people/64fc1560da5626052642a1c6e51d57db,wang-xiao-juan-54-5,people
12,4,0,https://pic3.zhimg.com/v2-8a909aa26852f8d1c189cbe52963e7ea_is.jpg,https://pic3.zhimg.com/v2-8a909aa26852f8d1c189cbe52963e7ea_{size}.jpg,[],593,0,,9e9948e44d86b84fe2485d3257bfb271,False,False,False,False,yuya,people,http://www.zhihu.com/api/v4/people/9e9948e44d86b84fe2485d3257bfb271,yuya-2,people
13,4,0,https://pic1.zhimg.com/v2-e76c39fd3af46b1ec86df4cefbc2221a_is.jpg,https://pic1.zhimg.com/v2-e76c39fd3af46b1ec86df4cefbc2221a_{size}.jpg,[],653,0,脱兔,e2ba3c03f928ec872c414d01ed12f51e,False,False,False,False,七七大人quq,people,http://www.zhihu.com/api/v4/people/e2ba3c03f928ec872c414d01ed12f51e,qi-qi-da-ren-quq,people
14,4,0,https://pic4.zhimg.com/v2-5b8fb6cacf6ebfbeee0fd62feecbf628_is.jpg,https://pic4.zhimg.com/v2-5b8fb6cacf6ebfbeee0fd62feecbf628_{size}.jpg,[],483,0,,ce8b5e0893117e1078f5ba7285fc85ac,False,False,False,False,走走停停,people,http://www.zhihu.com/api/v4/people/ce8b5e0893117e1078f5ba7285fc85ac,zou-zou-ting-ting-45-88,people
15,7,0,https://pic3.zhimg.com/v2-73fc2bc930ef2dd923f18e213288395f_is.jpg,https://pic3.zhimg.com/v2-73fc2bc930ef2dd923f18e213288395f_{size}.jpg,[],188,0,程序媛里的万金油/什么都想知道一点点,a250f679777e95388456fb09a5216a22,False,False,False,False,Yvette,people,http://www.zhihu.com/api/v4/people/a250f679777e95388456fb09a5216a22,xiu-chen-chen,people
